Ligand_SMILES,IC50 (nM)
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCN(Cc1ccc(Cl)cc1)C(=O)CCCCCNC(=O)CCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCCCN=[N+]=[N-])C(O)=O)C(O)=O,46
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCN(Cc1cccc(Cl)c1)C(=O)CCCCCNC(=O)CCC(=O)N[C@H](Cc1ccccc1)C(=O)N[C@H](Cc1ccccc1)C(=O)NCCCN=[N+]=[N-])C(O)=O)C(O)=O,46
OC(=O)CC[C@H](NC(=O)O[C@@H](CCCCNC(=O)c1ccc(SCc2ccc(F)cc2)cc1)OC=O)C(O)=O,46
OC(=O)CC[C@H](NC(=O)N[C@@H](CC(O)=O)C(O)=O)C(O)=O,46.1
OC(=O)CC[C@H](NC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O,47
OC(=O)CC[C@H](NC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O,47
OC(=O)CCC(CP(O)(=O)Cc1cc(F)cc(F)c1)C(O)=O,49
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCN(Cc1ccc(Br)cc1)C(=O)CCCCCNC(=O)CCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCCCN=[N+]=[N-])C(O)=O)C(O)=O,50
CCOc1ccc(CN(CCCC[C@H](NC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O)C(=O)CCCCCNC(=O)CCC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)NCCCN=[N+]=[N-])cc1,51
OC(=O)c1ccc(cc1)-c1ccc(CS)cc1C(O)=O,52
OC(=O)CCC(CP(O)(O)=O)C(O)=O,52
OC(=O)CCC(CP(O)(=O)Cc1ccccc1)C(O)=O,53
OC(=O)c1c(CCS)c2ccccc2n1Cc1cc(ccc1Br)C(O)=O,54
CN([C@@H](COP([O-])(=O)N[C@@H](CCC([O-])=O)C([O-])=O)C([O-])=O)C(=O)c1ccccc1,55
OC(=O)CCC(CP(O)(O)C(=O)c1ccccc1)C(O)=O,55
OC(=O)CCC(CP(O)(=O)Cc1cc(cc(c1)C(F)(F)F)C(F)(F)F)C(O)=O,55
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCN(Cc1ccc(Cl)cc1)C(=O)CCCCCNC(=O)CCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCCCN=[N+]=[N-])C(O)=O)C(O)=O,55
OC(=O)[C@@H](F)C[C@@H](CP(O)(O)=O)C(O)=O,55.9
OC(=O)CCC(CP(O)(O)C=NCc1ccccc1)C(O)=O,59
OC(=O)CC[C@H](NC(=O)O[C@@H](CCCCNC(=O)c1ccc2ccccc2c1)OC=O)C(O)=O,60
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCN(Cc1ccc(Cl)c(F)c1)C(=O)CCCCCNC(=O)CCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCCCN=[N+]=[N-])C(O)=O)C(O)=O,62
OC(=O)C(CCCS)Cc1ccc(cc1)C(O)=O,63
ONC(=O)CCC(Cc1ccc(cc1)C(O)=O)C(O)=O,63
