Ligand_SMILES,IC50 (nM)
OC(=O)CCC1CCCSC1=O,2000
CCS(=O)(=O)N1[C@H](COC(=O)c2ccccc2)[C@H](Cc2ccccc2)C1=O,2190
COC(=O)N=C(CC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(O)=O,2200
NC(=O)c1cccc(CC(CCCS)C(O)=O)c1,2200
OC(=O)CC(CP(O)(O)=O)C(O)=O,2200
N[C@@H](CC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(O)=O,2400
OC(=O)C(Cc1cccc(c1)C(O)=O)CP(O)(=O)Cc1c(F)c(F)c(F)c(F)c1F,2400
OC(=O)CC[C@H](NC(=O)CC(O)=O)C(O)=O,2500
OC(=O)CC[C@H](NP(O)(=O)O[C@@H]1C[C@H](N(C1)C(=O)CC[C@H](NC(=O)c1ccc(F)cc1)C(O)=O)C(O)=O)C(O)=O,2600
OC(=O)CCC(CCCCCS)C(O)=O,2600
OC(=O)CCC(S)C(O)=O,2600
COC(=O)c1cccc(CC(CCCS)C(O)=O)c1,2700
OC(=O)CCC(CP(O)(=O)c1ccccc1)C(O)=O,2930
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNCc1ccccc1)C(O)=O)C(O)=O,2960
OC(=O)CC[C@H](NC(=O)NCc1ccc(I)cc1)C(O)=O,1000
OC(=O)CC[C@H](NP(O)(=O)O[C@H]1C[C@@H](N(C1)C(=O)CC[C@H](NC(=O)c1ccc(F)cc1)C(O)=O)C(O)=O)C(O)=O,3000
O=C(OC[C@@H]1[C@H](Cc2ccccc2)C(=O)N1S(=O)(=O)c1ccccc1)c1ccccc1,3080
OC(=O)CCC(CCCSSCCCC(CCC(O)=O)C(O)=O)C(O)=O,3100
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCN(Cc1ccc(Br)cc1)C(=O)CCCCCNC(=O)CCC(=O)N[C@H](Cc1ccccc1)C(=O)N[C@H](Cc1ccc(O)cc1)C(=O)NCCCN=[N+]=[N-])C(O)=O)C(O)=O,3158
OC(=O)c1ccc(COC(=O)[C@@H]2[C@H](Cc3ccc(O)cc3)C(=O)N2C(=O)Cc2cccc(c2)C(=O)OCc2ccccc2)cc1,3500
OC(=O)c1ccc(COC(=O)[C@@H]2[C@H](Cc3ccc(O)cc3)C(=O)N2C(=O)Cc2cccc(c2)C(=O)OCc2ccccc2)cc1,3500
OC(=O)CC[C@H](NC(=O)O[C@@H](CCCCNC(=O)c1ccc(I)cc1OCCCCNC(=O)c1ccc(I)cc1)OC=O)C(O)=O,3800
OC(=O)C[C@H](NC(=O)N[C@@H](CC(O)=O)C(O)=O)C(O)=O,3800
ONC(=O)C(CCC(O)=O)C(O)=O,4000
[O-]C(=O)CCOP([O-])(=O)N[C@@H](CCC([O-])=O)C([O-])=O,4100
OC(=O)CC[C@H](NC(=O)O[C@@H](CCNC(=O)c1ccc(F)cc1)OC=O)C(O)=O,4500
Cc1ccc(cc1)S(=O)(=O)N1[C@H](COC(=O)c2ccccc2)[C@H](Cc2ccccc2)C1=O,4790
OC(=O)CC[C@H](NC(=O)O[C@H](CCNC(=O)c1ccc(F)cc1)OC=O)C(O)=O,4900
CCOC(=O)C(CCC(=O)NOCc1ccc(OC(C)=O)cc1)Cc1ccc(cc1)C(=O)OCC,5000
CC(C)OC(=O)OCOC(=O)c1ccc(CC(CCC(=O)NOCc2ccc(OC(C)=O)cc2)C(O)=O)cc1,5000
CCOC(=O)c1ccc(CC(CCC(=O)NOCc2ccc(OC(C)=O)cc2)C(O)=O)cc1,5000
CC(=O)ONC(=O)CCC(Cc1ccc(cc1)C(O)=O)C(O)=O,5000
CC(=O)Oc1ccc(CONC(=O)CCC(Cc2ccc(cc2)C(O)=O)C(O)=O)cc1,5000
OC(=O)c1cc(CS)ccc1-c1ccccc1,5700
OC(=O)c1ccc(COC(=O)[C@@H]2[C@H](Cc3ccccc3)C(=O)N2C(=O)Cc2cccc(c2)C(=O)OCc2ccc(cc2)C(O)=O)cc1,5840
OC(=O)c1ccc(COC(=O)[C@@H]2[C@H](Cc3ccccc3)C(=O)N2C(=O)Cc2cccc(c2)C(=O)OCc2ccc(cc2)C(O)=O)cc1,5840
OC(=O)CCC(CS)C(O)=O,6000
OC(=O)c1c(CCS)c2ccccc2n1-c1ccccc1,6100
CCN1\C(=C\C=C\C=C\C2=[N+](CCCCCC([O-])=O)c3ccc4c(cc(cc4c3C2(C)C)S(O)(=O)=O)S(O)(=O)=O)C(C)(C)c2c1ccc1c(cc(cc21)S(O)(=O)=O)S(O)(=O)=O,6100
CSCCCC(CCC(O)=O)C(O)=O,6500
OC(=O)CC[C@H](NC(=O)NC[C@H](NC(=O)CCCNC(=O)c1ccc(F)cc1)OC=O)C(O)=O,8000
CC(=O)N[C@@H](CC(O)=O)CC(=O)N[C@@H](CCC(O)=O)C(O)=O,8000
CC(C)C[C@@H](NC(=O)O[C@H](CCC(O)=O)C(O)=O)C(O)=O,8530
OC(=O)c1ccc(COC(=O)[C@@H]2[C@H](Cc3ccccc3)C(=O)N2C(=O)Cc2cccc(c2)C(=O)OCc2ccccc2)cc1,8980
OC(=O)c1ccc(COC(=O)[C@@H]2[C@H](Cc3ccccc3)C(=O)N2C(=O)Cc2cccc(c2)C(=O)OCc2ccccc2)cc1,8980
CC(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(O)=O,9000
Oc1ccc(C[C@H]2[C@H](N(C(=O)c3ccccc3)C2=O)C(=O)OCc2ccccc2)cc1,9140
N[C@@H](Cn1oc(=O)[nH]c1=O)C(O)=O,9500
OC(=O)CCC(CCCSC(c1ccccc1)(c1ccccc1)c1ccccc1)C(O)=O,5000
OC(=O)CC[C@H](NP(O)(=O)O[C@H]1C[C@@H](N(C1)C(=O)CC[C@H](NC(=O)CCCCCNC(=O)c1ccc(F)cc1)C(O)=O)C(O)=O)C(O)=O,11000
[O-][N+](=O)c1ccc(cc1)S(=O)(=O)N1[C@H](COC(=O)c2ccccc2)[C@H](Cc2ccccc2)C1=O,11500
OC(=O)CC[C@H](NC(=O)NC[C@H](NC(=O)c1ccc(I)cc1)OC=O)C(O)=O,12000
OC(=O)c1c(CCS)c2ccccc2n1Cc1ccccc1,12000
OC(=O)CC(Cc1cccc(c1)C(O)=O)C(O)=O,15000
CC(=O)N[C@H](CC(O)=O)C(=O)N[C@@H](CCC(O)=O)C(O)=O,15000
ONC(=O)CC(Cc1cccc(c1)C(O)=O)C(O)=O,15000
NCCCCCC(=O)N[C@@H](CCC(=O)N[C@@H](CCCOP(O)(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O)C(O)=O,19000
CSCCCC(Cc1cccc(c1)C(O)=O)C(O)=O,5000
OC(=O)CCC(CC(O)=O)C(O)=O,20000
OC(=O)c1cccc(c1)-c1cccc2CCSC(=O)c12,20000
OC(=O)C(CCCSC(c1ccccc1)(c1ccccc1)c1ccccc1)Cc1cccc(c1)C(O)=O,5000
OC(=O)CCC(CC(O)=O)C(O)=O,20000
CSCCc1c(C(O)=O)n(Cc2cccc(c2)C(O)=O)c2ccccc12,20000
OCCc1c(C(O)=O)n(Cc2cccc(c2)C(O)=O)c2ccccc12,24000
OC(=O)c1ccc(COC(=O)[C@@H]2[C@H](Cc3ccccc3)C(=O)N2C(=O)c2ccccc2)cc1,24300
N[C@@H](CCC(=O)N[C@@H](CCCOP(O)(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O)C(O)=O,27000
OC(=O)c1ccc(COC(=O)[C@@H]2[C@H](Cc3ccccc3)C(=O)N2C(=O)Cc2cccc(c2)C(O)=O)cc1,5000
Cc1ccc(cc1)S(=O)(=O)N1[C@@H]([C@H](Cc2ccccc2)C1=O)C(=O)OCc1ccccc1,5000
OC(=O)c1ccc(COC(=O)[C@@H]2[C@H](Cc3ccccc3)C(=O)N2C(=O)Cc2cccc(c2)C(O)=O)cc1,5000
ONC(=O)CCC(O)=O,43000
OC(=O)CC[C@H](NC(=O)NC[C@H](NC(=O)c1ccc(F)cc1)OC=O)C(O)=O,43000
N[C@@H](CCC(=O)N1C[C@@H](C[C@H]1C(O)=O)OP(O)(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O,60000
N[C@@H](Cn1ccc(=O)[nH]c1=O)C(O)=O,67000
NCCCCCC(=O)N[C@@H](CCC(=O)N1C[C@@H](C[C@H]1C(O)=O)OP(O)(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O,79000
OC(=O)CC[C@H](NC(=O)\C=C/C(O)=O)C(O)=O,83000
CC(=O)N[C@H](CC(O)=O)C(=O)NO,100000
CC(=O)N[C@@H](CC(O)=O)C(=O)NO,100000
O=C(Cc1cccc(c1)C(=O)OCc1ccccc1)N1[C@H](COC(=O)c2ccccc2)[C@H](Cc2ccccc2)C1=O,100000
N[C@@H](CCC(=O)NO)C(O)=O,100000
OC(=O)c1ccc(cc1)C(=O)OC[C@@H]1[C@H](Cc2ccccc2)C(=O)N1C(=O)c1ccccc1,100000
N[C@@H](CC(=O)NO)C(O)=O,100000
OC(=O)CC[C@H](NS(=O)(=O)NC[C@H](NC(=O)c1ccccc1)C(O)=O)C(O)=O,100000
N[C@H](CC(=O)NO)C(O)=O,100000
NCCCCCC(=O)N[C@@H](CCC(=O)N1C[C@H](C[C@@H]1C(O)=O)OP(O)(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O,112000
OC(=O)CC[C@H](NC(=S)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O,135000
CC(=O)N[C@@H](CCC(O)=O)C(=O)N[C@@H](CC(O)=O)C(O)=O,193000
CC(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CCC(O)=O)CC(O)=O,200000
CC(=O)N[C@@H](CC(O)=O)C(=O)N[C@@H](CC(O)=O)C(O)=O,250000
N[C@@H](CCC(=O)N1C[C@H](C[C@@H]1C(O)=O)OP(O)(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O,357000
N[C@@H](CCC(O)=O)C(O)=O,428000
N[C@@H](COS(O)(=O)=O)C(O)=O,438000
N[C@@H](COP(O)(O)=O)C(O)=O,523000
Cc1o[nH]c(=O)c1C[C@H](N)C(O)=O,100000
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)c1ccc(I)cc1)C(O)=O)C(O)=O,0.021
CN(C(=O)CCC[C@H](NC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O)c1ccc(F)nc1,0.075
OC(=O)CC[C@H](CP(O)(O)=O)C(O)=O,0.1
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCC(=O)N(CCNC(=O)c1ccc(F)nc1)c1ccccc1)C(O)=O)C(O)=O,0.13
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCC(=O)N(CCNC(=O)c1ccc(F)cc1)c1ccccc1)C(O)=O)C(O)=O,0.15
CN(C(=O)CCC[C@H](NC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O)c1ccc(F)cc1,0.2
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)c1ccc(I)cc1)C(O)=O)C(O)=O,0.22
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCC(=O)Nc1cccc(F)c1)C(O)=O)C(O)=O,0.28
OC(=O)CCC(CP(O)(O)=O)C(O)=O,0.3
OC(=O)CCC(CP(O)(O)=O)C(O)=O,0.3
OC(=O)CCC(CP(O)(O)=O)C(O)=O,0.3
OC(=O)CCC(CP(O)(O)=O)C(O)=O,0.3
OC(=O)CCC(CP(O)(O)=O)C(O)=O,0.3
OC(=O)CCC(CP(O)(O)=O)C(O)=O,0.3
OC(=O)CCC(CP(O)(O)=O)C(O)=O,0.3
OC(=O)CCC(CP(O)(O)=O)C(O)=O,0.3
OC(=O)CC[C@H](NP(O)(=O)OC[C@H](NC(=O)CC[C@H](NC(=O)CCCCCNC(=O)c1ccc(c(c1)C(O)=O)-c1c2ccc(O)cc2oc2cc(=O)ccc12)C(O)=O)C(O)=O)C(O)=O,0.35
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCC(=O)Nc1ccc(F)cc1)C(O)=O)C(O)=O,0.35
OC(=O)CC[C@H](NP(O)(=O)OC[C@H](NC(=O)CC[C@H](NC(=O)c1ccc(c(c1)C([O-])=O)-c1c2ccc(O)cc2oc2cc(=O)ccc12)C(O)=O)C(O)=O)C(O)=O,0.41
CN(Cc1cccc(F)c1)C(=O)CCC[C@H](NC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O,0.46
CC(C)C[C@H](NC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O,0.5
OC(=O)CCC(CP(O)(=O)CC(CCC(O)=O)C(O)=O)C(O)=O,0.5
N[C@@H](CCC(=O)N[C@@H](COP([O-])(=O)O[C@@H](CCC(O)=O)C(O)=O)C(O)=O)C(O)=O,0.55
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCN(Cc1ccc(Br)cc1)C(=O)CCCCNC(=S)Nc1ccc(CC2CN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CCN2CC(O)=O)cc1)C(O)=O)C(O)=O,0.57
CN(Cc1ccc(F)cc1)C(=O)CCC[C@H](NC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O,0.64
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCN(Cc1ccc(Br)cc1)C(=O)CCCCNC(=O)CN1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC1)C(O)=O)C(O)=O,0.64
CC(C)C[C@H](NC(=O)O[C@@H](CCC(O)=O)C(O)=O)C(O)=O,0.65
[O-]C(=O)CC[C@H](NP([O-])([O-])=O)C([O-])=O,0.86
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCC(=O)NCCNC(=O)c1ccc(F)cc1)C(O)=O)C(O)=O,0.94
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCC(=O)Nc1ccc(F)nc1)C(O)=O)C(O)=O,0.99
OC(=O)CCC(CP(O)(O)=O)C(O)=O,1.1
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCC(=O)NCCNC(=O)c1ccc(F)nc1)C(O)=O)C(O)=O,1.1
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCC(=O)NC(c1ccc(F)cc1)c1ccc(F)cc1)C(O)=O)C(O)=O,1.2
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCC(=O)N1CCN(CC1)c1ccc(F)cc1)C(O)=O)C(O)=O,1.3
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)[C@H](Cc1ccccc1)NC(=O)COc1ccc(C[C@H](NC(=O)CNC(=O)c2ccc(I)cc2)C(O)=O)cc1)C(O)=O)C(O)=O,1.3
CSc1ccc(cc1)C(=O)NCCCC(=O)N[C@H](CNC(=O)N[C@@H](CCC(O)=O)C(O)=O)OC=O,1.3
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCN(Cc1cccc(Cl)c1)C(=O)CCCCCNC(=O)CCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(O)c(c1)[N+]([O-])=O)C(=O)NCCCN=[N+]=[N-])C(O)=O)C(O)=O,1.5
CC(CP(O)(=O)CC(CCC(O)=O)C(O)=O)C(O)=O,1.5
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)c1ccc(F)nc1)C(O)=O)C(O)=O,1.6
OC(=O)CC[C@H](NC(=O)O[C@@H](CCCCNC(=O)c1ccc(I)cc1F)OC=O)C(O)=O,1.6
OC(=O)CC[C@H](NP(O)(=O)OC[C@H](NC(=O)CC[C@H](NC(=O)CCOCCOCCOCCOCCOCCOCCOCCOCCNC(=O)c1ccc(c(c1)C(O)=O)-c1c2ccc(O)cc2oc2cc(=O)ccc12)C(O)=O)C(O)=O)C(O)=O,1.93
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNCc1ccc(Cl)cc1)C(O)=O)C(O)=O,2
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)Nc1ccc(Br)cc1)C(O)=O)C(O)=O,2
OC(=O)CC[C@H](NC(=O)NC[C@@H](NC(=O)CCCNC(=O)c1ccc(cc1F)-c1ccccc1)OC=O)C(O)=O,2
OC(=O)c1cccc(COc2ccc(CS)cc2C(O)=O)c1,2
OC(=O)CCC(CP(O)(=O)CC(Cc1ccccc1)C(O)=O)C(O)=O,2
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)c1ccc(I)cc1)C(O)=O)C(O)=O,2
OC(=O)c1cccc(c1)-c1cccc(CCS)c1C(O)=O,2
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCN(Cc1ccc(cc1)C(O)=O)C(=O)CCCCCNC(=O)CCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(O)c(c1)[N+]([O-])=O)C(=O)NCCCN=[N+]=[N-])C(O)=O)C(O)=O,2.1
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCC(=O)NCc1ccccc1F)C(O)=O)C(O)=O,2.1
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)CCCCNC(=S)Nc1ccc(CC2CN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CCN2CC(O)=O)cc1)C(O)=O)C(O)=O,2.16
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCC(=O)NCc1ccc(F)cc1)C(O)=O)C(O)=O,2.3
OC(=O)CC[C@H](NP(O)(O)=O)C(O)=O,2.3
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(O)=O)NC(=O)c1ccc(I)cc1)C(O)=O)C(O)=O,2.6
CC(C)(C)[Si](F)(c1ccc(cc1)C(=O)NCC(NC(=O)CC(N1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC1)C(O)=O)C(=O)N[C@H](CCCCNC(=O)CCC(=O)NCCC[C@@H](NC(=O)CC[C@H](NC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O)C(O)=O)C(O)=O)C(C)(C)C,2.8
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCC(=O)NCc1cccc(F)c1)C(O)=O)C(O)=O,2.9
COc1ccc(NCP(O)(=O)CC(CCC(O)=O)C(O)=O)cc1,3
Nc1ccc(cc1)C(=O)N[C@@H](CCP(O)(=O)O[C@@H](CCC(O)=O)C(O)=O)C(O)=O,3
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)Nc1ccc(F)cc1)C(O)=O)C(O)=O,3
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)Cn1nnc(I)c1CNc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O)C(O)=O)C(O)=O,3
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)Nc1ccc(I)cc1)C(O)=O)C(O)=O,3
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCN(Cc1cccc(Cl)c1)C(=O)CCCCCNC(=O)CCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCCCN=[N+]=[N-])C(O)=O)C(O)=O,3
OC(=O)[C@@H](F)C[C@H](CP(O)(O)=O)C(O)=O,3.1
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)[C@H](Cc1ccccc1)NC(=O)COc1ccc(C[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)[C@H](CCC(O)=O)NC(=O)c2ccc(I)cc2)C(O)=O)cc1)C(O)=O)C(O)=O,3.5
CNc1ccc(cc1)C(=O)N[C@@H](CCP(O)(=O)O[C@@H](CCC(O)=O)C(O)=O)C(O)=O,4
CC(=O)N[C@@H](CCCN(O)C(C)=O)C(=O)N[C@@H](CCCN(O)C(C)=O)C(=O)N[C@@H](CCCN(O)C(C)=O)C(=O)NCCCC(=O)c1ccc(cc1)C(=O)NCC(=O)Nc1ccc(CCOP(O)(=O)C[C@@H](CCC(O)=O)C(O)=O)cc1,4
OC(=O)CC[C@H](NC(=O)NC[C@@H](NC(=O)CCCNC(=O)c1ccc(I)cc1)C(O)=O)C(O)=O,4
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(cc1)C(=O)N[C@@H](CCP(O)(=O)O[C@@H](CCC(O)=O)C(O)=O)C(O)=O,4
OC(=O)CCC(CP(O)(=O)CNc1ccccc1)C(O)=O,4
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)Nc1ccc(Cl)cc1)C(O)=O)C(O)=O,4
OC(=O)CC[C@H](NC(=O)O[C@@H](CCCCNC(=O)c1ccc(I)cc1)OC=O)C(O)=O,4.3
C[C@H](NC(=O)CCC[C@H](NC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O)c1ccc(F)nc1,4.5
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)[C@H](Cc1ccccc1)NC(=O)COc1ccc(C[C@H](NC(=O)[C@H](CCC(O)=O)NC(=O)c2ccc(I)cc2)C(O)=O)cc1)C(O)=O)C(O)=O,4.7
CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(cc1)C(=O)NC(CCP(O)(=O)OC(CCC(O)=O)C(O)=O)C(O)=O,5
OC(=O)CCC(CP(O)(O)=O)C(O)=O,5.1
C[C@H](NC(=O)CCC[C@H](NC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O)c1ccc(F)cc1,5.2
C[C@@H](NC(=O)CCC[C@H](NC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O)c1ccc(F)cc1,5.4
OC(=O)[C@H](F)C[C@@H](CP(O)(O)=O)C(O)=O,6.8
OC(=O)CC[C@H](NC(=O)N[C@@H](CS)C(O)=O)C(O)=O,6.9
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCN(Cc1ccc(cc1)C(O)=O)C(=O)CCCCCNC(=O)CCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCCCN=[N+]=[N-])C(O)=O)C(O)=O,7
OC(=O)c1ccc(cc1)-c1cccc(CCS)c1C(O)=O,7
CC(C)(C)[Si](F)(c1ccc(cc1)C(=O)NC[C@@H](NC(=O)CC(N1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC1)C(O)=O)C(=O)N[C@H](CCCCNC(=O)CCC(=O)NCCC[C@@H](NC(=O)CC[C@H](NC(=O)O[C@@H](CCC(O)=O)C(O)=O)C(O)=O)C(O)=O)C(O)=O)C(C)(C)C,7.1
OC(=O)[C@H](F)C[C@H](CP(O)(O)=O)C(O)=O,8.1
CC(C)C[C@@H](NC(=O)O[C@@H](CCC(O)=O)C(O)=O)C(O)=O,8.9
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCN(Cc1cccc(Cl)c1)C(=O)CCCCCNC(=O)CCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCCCN=[N+]=[N-])C(O)=O)C(O)=O,9
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCn1cc(COCCOCCOCCOCCNc2ccc(cc2[N+]([O-])=O)[N+]([O-])=O)nn1)C(O)=O)C(O)=O,9
OC(=O)CCC(CP(O)(O)C(=O)c1ccncc1)C(O)=O,10
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)Nc1ccc(I)cc1)C(O)=O)C(O)=O,10
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNS(=O)(=O)c1ccc(I)cc1)C(O)=O)C(O)=O,10
CC(C)C[C@H](NC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O,11
OC(=O)CC[C@H](NC(=O)NC[C@@H](NC(=O)c1ccc(I)cc1)C(O)=O)C(O)=O,11
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)[C@H](Cc1ccc2ccccc2c1)NC(=O)[C@H]1CC[C@H](CNC(=O)CN2CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC2)CC1)C(O)=O)C(O)=O,11
OC(=O)CC[C@H](NC(=O)NC[C@@H](NC(=O)CCNC(=O)c1ccc(I)cc1)C(O)=O)C(O)=O,12
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)Nc1ccccc1)C(O)=O)C(O)=O,12
OC(=O)CCC(CP(O)(=O)OCc1ccccc1)C(O)=O,12.5
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)[C@H](Cc1ccccc1)NC(=O)COc1ccc(C[C@H](NC(=O)Nc2ccc(I)cc2)C(O)=O)cc1)C(O)=O)C(O)=O,13
OC(=O)C(CCCS)Oc1cccc(c1)C(O)=O,14
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)Cn1nnc(COCCOCCOCCOCCOCCOCCOCCOCCNc2ccc(cc2[N+]([O-])=O)[N+]([O-])=O)c1I)C(O)=O)C(O)=O,14
N[C@@H](CCC(=O)N[C@@H](COP(O)(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O)C(O)=O,14
OC(=O)C(CCCS)Cc1cccc(c1)C(O)=O,15
OC(=O)C(CCCS)Cc1cccc(c1)C(O)=O,15
[O-]C(=O)CC[C@H](OP([O-])([O-])=O)C([O-])=O,15
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)Cn1nnc(COCCOCCOCCOCCNc2ccc(cc2[N+]([O-])=O)[N+]([O-])=O)c1I)C(O)=O)C(O)=O,15
OC(=O)C(CCCS)Cc1cccc(c1)C(O)=O,15
OC(=O)c1ccc(COc2ccc(CS)cc2C(O)=O)cc1,16
OC(=O)CCC(CP(O)(O)C(=O)c1cccc(F)c1)C(O)=O,16
CC(C)(C)[Si](F)(c1ccc(cc1)C(=O)NC[C@@H](NC(=O)CC(N1CCN(CC(O)=O)CCN(CC(O)=O)CCN(CC(O)=O)CC1)C(O)=O)C(=O)N[C@H](CCCCNC(=O)CCC(=O)NCCC[C@@H](NC(=O)CC[C@H](NC(=O)N[C@@H](Cc1nnn[nH]1)C(O)=O)C(O)=O)C(O)=O)C(O)=O)C(C)(C)C,16
CC(C)C[C@@H](NC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O,16
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCN(Cc1ccccc1[N+]([O-])=O)C(=O)CCCCCNC(=O)CCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)NCCCN=[N+]=[N-])C(O)=O)C(O)=O,16
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCN(Cc1ccc(Br)cc1)C(=O)CCCCCNC(=O)CCC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)NCCCN=[N+]=[N-])C(O)=O)C(O)=O,17
CC(C)C[C@H](OC(=O)N[C@@H](CCC(O)=O)C(O)=O)C(O)=O,17
OC(=O)CC[C@H](NC(=O)NC[C@@H](NC(=O)CCCCNC(=O)c1ccc(I)cc1)C(O)=O)C(O)=O,17
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)NCc1cccc(I)c1)C(O)=O)C(O)=O,18
OC(=O)CC[C@H](NC(=O)N[C@@H](CCCCNC(=O)Cn1nnc(I)c1COCCOCCOCCOCCNc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O)C(O)=O)C(O)=O,19
